Holding Name,Ticker,Sector,Country code,% of net assets
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,Diversified Financial Services,IN,0.05010%
Ashok Leyland Ltd.,ASHOKLEY,Commercial Vehicles and Parts,IN,0.05003%
UPL Ltd.,UPL,Fertilizers,IN,0.04973%
Industrial & Commercial Bank of China Ltd.,601398,Banks,CN,0.04969%
Astral Ltd.,ASTRAL,"Building, Roofing/Wallboard and Plumbing",IN,0.04964%
People's Insurance Co. Group of China Ltd.,1339,Property and Casualty Insurance,CN,0.04938%
MISC Bhd.,MISC,Marine Transportation,MY,0.04934%
Adani Total Gas Ltd.,ATGL,Gas Distribution,IN,0.04934%
Voltas Ltd.,VOLTAS,Building: Climate Control,IN,0.04931%
BYD Co. Ltd.,002594,Automobiles,CN,0.04921%
Walsin Lihwa Corp.,1605,Electrical Components,TW,0.04919%
Formosa Petrochemical Corp.,6505,Oil Refining and Marketing,TW,0.04896%
GoTo Gojek Tokopedia Tbk PT,GOTO,Consumer Digital Services,ID,0.04893%
CosmoAM&T Co. Ltd.,005070,Consumer Electronics,KR,0.04888%
Hankook Tire & Technology Co. Ltd.,161390,Tires,KR,0.04851%
Bumrungrad Hospital PCL,BH-F,Health Care Facilities,TH,0.04828%
Cheng Shin Rubber Industry Co. Ltd.,2105,Tires,TW,0.04812%
Torrent Pharmaceuticals Ltd.,TORNTPHARM,Pharmaceuticals,IN,0.04797%
China Resources Gas Group Ltd.,1193,Gas Distribution,BM,0.04764%
Voltronic Power Technology Corp.,6409,Electronic Components,TW,0.04700%
NMDC Ltd.,NMDC,Iron and Steel,IN,0.04698%
Federal Bank Ltd.,FEDERALBNK,Banks,IN,0.04691%
Tongcheng Travel Holdings Ltd.,780,Travel and Tourism,KY,0.04673%
Samsung Engineering Co. Ltd.,028050,Construction,KR,0.04664%
Sime Darby Plantation Bhd.,SIMEPLT,"Farming, Fishing, Ranching and Plantatio",MY,0.04654%
BYD Electronic International Co. Ltd.,285,Telecommunications Equipment,HK,0.04637%
Max Financial Services Ltd.,MFSL,Life Insurance,IN,0.04608%
Yang Ming Marine Transport Corp.,2609,Marine Transportation,TW,0.04599%
Bosch Ltd.,BOSCHLTD,Auto Parts,IN,0.04596%
Torrent Power Ltd.,TORNTPOWER,Conventional Electricity,IN,0.04595%
Hong Leong Bank Bhd.,HLBANK,Banks,MY,0.04578%
Axiata Group Bhd.,AXIATA,Telecommunications Services,MY,0.04566%
Asia Cement Corp.,1102,Cement,TW,0.04561%
Xinyi Solar Holdings Ltd.,968,Renewable Energy Equipment,KY,0.04542%
Seatrium Ltd.,S51,Marine Transportation,SG,0.04524%
Indus Towers Ltd.,INDUSTOWER,Telecommunications Services,IN,0.04513%
Winbond Electronics Corp.,2344,Semiconductors,TW,0.04513%
GCL Technology Holdings Ltd.,3800,Renewable Energy Equipment,KY,0.04505%
Macrotech Developers Ltd.,LODHA,Real Estate Holding and Development,IN,0.04478%
HYBE Co. Ltd.,352820,Entertainment,KR,0.04478%
Tata Communications Ltd.,TATACOMM,Telecommunications Services,IN,0.04477%
CITIC Securities Co. Ltd.,600030,Investment Services,CN,0.04476%
Hyundai Glovis Co. Ltd.,086280,Delivery Services,KR,0.04476%
GMR Airports Infrastructure Ltd.,GMRINFRA,Transportation Services,IN,0.04473%
Yuhan Corp.,000100,Pharmaceuticals,KR,0.04465%
Kingdee International Software Group Co. Ltd.,268,Software,KY,0.04451%
Shanxi Xinghuacun Fen Wine Factory Co. Ltd.,600809,Distillers and Vintners,CN,0.04409%
ASPEED Technology Inc.,5274,Semiconductors,TW,0.04405%
Industrial Bank of Korea,024110,Banks,KR,0.04405%
China Minsheng Banking Corp. Ltd.,1988,Banks,CN,0.04388%
Mphasis Ltd.,MPHASIS,Computer Services,IN,0.04388%
Great Wall Motor Co. Ltd.,2333,Automobiles,CN,0.04374%
Jiangsu Hengrui Pharmaceuticals Co. Ltd.,600276,Pharmaceuticals,CN,0.04320%
Haidilao International Holding Ltd.,6862,Restaurants and Bars,KY,0.04239%
Alibaba Health Information Technology Ltd.,241,Drug Retailers,BM,0.04230%
NHPC Ltd.,NHPC,Alternative Electricity,IN,0.04229%
Polycab India Ltd.,POLYCAB,Electrical Components,IN,0.04208%
Dixon Technologies India Ltd.,DIXON,Consumer Electronics,IN,0.04194%
Luzhou Laojiao Co. Ltd.,000568,Distillers and Vintners,CN,0.04184%
Powerchip Semiconductor Manufacturing Corp.,6770,Semiconductors,TW,0.04163%
China Shenhua Energy Co. Ltd.,601088,Coal,CN,0.04148%
Budweiser Brewing Co. APAC Ltd.,1876,Brewers,KY,0.04146%
CMOC Group Ltd.,3993,Nonferrous Metals,CN,0.04121%
Feng TAY Enterprise Co. Ltd.,9910,Footwear,TW,0.04103%
China Tourism Group Duty Free Corp. Ltd.,601888,Specialty Retailers,CN,0.04091%
Canara Bank,CANBK,Banks,IN,0.04081%
Petronet LNG Ltd.,PETRONET,Oil Refining and Marketing,IN,0.04077%
Gamuda Bhd.,GAMUDA,Construction,MY,0.04066%
Sona Blw Precision Forgings Ltd.,SONACOMS,Auto Parts,IN,0.04065%
Chow Tai Fook Jewellery Group Ltd.,1929,Luxury Items,KY,0.04047%
Krung Thai Bank PCL,KTB-F,Banks,TH,0.04035%
Inner Mongolia Yitai Coal Co. Ltd.,900948,Coal,CN,0.04031%
Korea Aerospace Industries Ltd.,047810,Aerospace,KR,0.04030%
Mapletree Pan Asia Commercial Trust,N2IU,Diversified REITs,SG,0.04001%
Indian Railway Finance Corp. Ltd.,IRFC,Commercial Vehicle-Equipment Leasing,IN,0.03980%
Pou Chen Corp.,9904,Footwear,TW,0.03975%
Central Retail Corp. PCL,CRC-F,Diversified Retailers,TH,0.03973%
Kuala Lumpur Kepong Bhd.,KLK,Chemicals: Diversified,MY,0.03954%
Sime Darby Bhd.,SIME,Specialty Retailers,MY,0.03954%
Shaanxi Coal Industry Co. Ltd.,601225,Coal,CN,0.03951%
Alkem Laboratories Ltd.,ALKEM,Pharmaceuticals,IN,0.03947%
FSN E-Commerce Ventures Ltd.,NYKAA,Diversified Retailers,IN,0.03944%
Kingsoft Corp. Ltd.,3888,Software,KY,0.03927%
HD Hyundai Co. Ltd.,267250,Oil Refining and Marketing,KR,0.03927%
China Gas Holdings Ltd.,384,Gas Distribution,BM,0.03897%
Page Industries Ltd.,PAGEIND,Clothing and Accessories,IN,0.03888%
PharmaEssentia Corp.,6446,Biotechnology,TW,0.03848%
Oracle Financial Services Software Ltd.,OFSS,Software,IN,0.03829%
NCSoft Corp.,036570,Electronic Entertainment,KR,0.03796%
PCCW Ltd.,8,Telecommunications Services,HK,0.03784%
China State Construction Engineering Corp. Ltd.,601668,Construction,CN,0.03780%
Frasers Logistics & Commercial Trust,BUOU,Industrial REITs,SG,0.03776%
Longfor Group Holdings Ltd.,960,Real Estate Holding and Development,KY,0.03750%
Anhui Conch Cement Co. Ltd.,914,Cement,CN,0.03745%
LIC Housing Finance Ltd.,LICHSGFIN,Mortgage Finance,IN,0.03738%
JG Summit Holdings Inc.,JGS,Diversified Industrials,PH,0.03726%
YTL Corp. Bhd.,YTL,Multi-Utilities,MY,0.03716%
UOL Group Ltd.,U14,Real Estate Holding and Development,SG,0.03710%
Weichai Power Co. Ltd.,000338,Machinery: Engines,CN,0.03704%
China Longyuan Power Group Corp. Ltd.,916,Alternative Electricity,CN,0.03701%
Wanhua Chemical Group Co. Ltd.,600309,Chemicals: Diversified,CN,0.03685%
Amorepacific Corp.,090430,Cosmetics,KR,0.03683%
Hyundai Motor Co.,005385,Automobiles,KR,0.03681%
Jollibee Foods Corp.,JFC,Restaurants and Bars,PH,0.03672%
Charoen Pokphand Indonesia Tbk PT,CPIN,"Farming, Fishing, Ranching and Plantatio",ID,0.03671%
Taiwan Business Bank,2834,Banks,TW,0.03659%
NARI Technology Co. Ltd.,600406,Electronic Equipment: Gauges and Meters,CN,0.03655%
ICICI Prudential Life Insurance Co. Ltd.,ICICIPRULI,Life Insurance,IN,0.03649%
ACC Ltd.,ACC,Cement,IN,0.03621%
Genting Bhd.,GENTING,Casinos and Gambling,MY,0.03610%
Hanwha Solutions Corp.,009830,Renewable Energy Equipment,KR,0.03607%
China Galaxy Securities Co. Ltd.,6881,Investment Services,CN,0.03605%
Want Want China Holdings Ltd.,151,Food Products,KY,0.03601%
SBI Cards & Payment Services Ltd.,SBICARD,Consumer Lending,IN,0.03599%
Orient Overseas International Ltd.,316,Marine Transportation,BM,0.03598%
Hengan International Group Co. Ltd.,1044,Personal Products,KY,0.03577%
Eva Airways Corp.,2618,Airlines,TW,0.03574%
Hyundai Steel Co.,004020,Iron and Steel,KR,0.03543%
AU Small Finance Bank Ltd.,AUBANK,Banks,IN,0.03537%
Zhen Ding Technology Holding Ltd.,4958,Electronic Components,KY,0.03532%
Fuyao Glass Industry Group Co. Ltd.,3606,Glass,CN,0.03527%
S-Oil Corp.,010950,Oil Refining and Marketing,KR,0.03521%
IOI Corp. Bhd.,IOICORP,Fruit and Grain Processing,MY,0.03517%
PLDT Inc.,TEL,Telecommunications Services,PH,0.03513%
LG Innotek Co. Ltd.,011070,Electronic Components,KR,0.03504%
CRRC Corp. Ltd.,601766,Railroad Equipment,CN,0.03494%
PTT Global Chemical PCL,PTTGC-F,Chemicals: Diversified,TH,0.03492%
Shanghai Pudong Development Bank Co. Ltd.,600000,Banks,CN,0.03487%
Bangkok Bank PCL,BBL-R,Banks,TH,0.03469%
Charoen Pokphand Foods PCL,CPF-F,"Farming, Fishing, Ranching and Plantatio",TH,0.03463%
SF Holding Co. Ltd.,002352,Delivery Services,CN,0.03455%
ASMedia Technology Inc.,5269,Semiconductors,TW,0.03448%
Malaysia Airports Holdings Bhd.,AIRPORT,Transportation Services,MY,0.03441%
PPB Group Bhd.,PPB,Fruit and Grain Processing,MY,0.03440%
Foxconn Industrial Internet Co. Ltd.,601138,Telecommunications Equipment,CN,0.03439%
Hiwin Technologies Corp.,2049,Machinery: Industrial,TW,0.03435%
United Tractors Tbk PT,UNTR,General Mining,ID,0.03430%
Bank of Communications Co. Ltd.,601328,Banks,CN,0.03425%
Bilibili Inc.,9626,Consumer Digital Services,KY,0.03420%
JSW Energy Ltd.,JSWENERGY,Conventional Electricity,IN,0.03418%
Union Bank of India Ltd.,UNIONBANK,Banks,IN,0.03416%
Muyuan Foods Co. Ltd.,002714,"Farming, Fishing, Ranching and Plantatio",CN,0.03406%
China National Nuclear Power Co. Ltd.,601985,Alternative Electricity,CN,0.03396%
Jubilant Foodworks Ltd.,JUBLFOOD,Restaurants and Bars,IN,0.03392%
Vanguard International Semiconductor Corp.,5347,Semiconductors,TW,0.03383%
Metropolitan Bank & Trust Co.,MBT,Banks,PH,0.03382%
China Power International Development Ltd.,2380,Conventional Electricity,HK,0.03367%
Balkrishna Industries Ltd.,BALKRISIND,Tires,IN,0.03367%
Hyundai Engineering & Construction Co. Ltd.,000720,Construction,KR,0.03347%
Ping An Bank Co. Ltd.,000001,Banks,CN,0.03305%
Tingyi Cayman Islands Holding Corp.,322,Food Products,KY,0.03303%
Coway Co. Ltd.,021240,Household Appliance,KR,0.03297%
Posco International Corp.,047050,Industrial Suppliers,KR,0.03295%
East Money Information Co. Ltd.,300059,Financial Data Providers,CN,0.03291%
TMBThanachart Bank PCL,TTB-F,Banks,TH,0.03290%
Bank of China Ltd.,601988,Banks,CN,0.03276%
SITC International Holdings Co. Ltd.,1308,Marine Transportation,KY,0.03274%
Taiwan High Speed Rail Corp.,2633,Railroads,TW,0.03272%
Zai Lab Ltd.,9688,Biotechnology,KY,0.03272%
Petronas Gas Bhd.,PETGAS,Gas Distribution,MY,0.03272%
Genting Malaysia Bhd.,GENM,Casinos and Gambling,MY,0.03267%
AMMB Holdings Bhd.,AMBANK,Banks,MY,0.03264%
Nanya Technology Corp.,2408,Semiconductors,TW,0.03252%
Giant Manufacturing Co. Ltd.,9921,Recreational Products,TW,0.03245%
Merdeka Copper Gold Tbk PT,MDKA,General Mining,ID,0.03223%
True Corp. PCL,TRUE-F,Telecommunications Services,TH,0.03218%
Qifu Technology Inc.,QFIN,Consumer Lending,KY,0.03214%
Maxis Bhd.,MAXIS,Telecommunications Services,MY,0.03211%
Solar Industries India Ltd.,SOLARINDS,Chemicals: Diversified,IN,0.03182%
SK Biopharmaceuticals Co. Ltd.,326030,Biotechnology,KR,0.03180%
Huaneng Power International Inc.,902,Conventional Electricity,CN,0.03174%
Berger Paints India Ltd.,BERGEPAINT,Paints and Coatings,IN,0.03165%
Deepak Nitrite Ltd.,DEEPAKNTR,Chemicals: Diversified,IN,0.03155%
Jardine Cycle & Carriage Ltd.,C07,Automobiles,SG,0.03154%
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,Consumer Lending,IN,0.03142%
Adaro Energy Indonesia Tbk PT,ADRO,Coal,ID,0.03123%
Chongqing Changan Automobile Co. Ltd.,200625,Automobiles,CN,0.03120%
RHB Bank Bhd.,RHBBANK,Banks,MY,0.03084%
Suntec Real Estate Investment Trust,T82U,Office REITs,SG,0.03075%
China State Construction International Holdings Ltd.,3311,Construction,KY,0.03071%
New World Development Co. Ltd.,17,Real Estate Holding and Development,HK,0.03067%
LG H&H Co. Ltd.,051900,Personal Products,KR,0.03060%
Oil India Ltd.,OIL,Oil: Crude Producers,IN,0.03050%
Thai Oil PCL,TOP-F,Oil Refining and Marketing,TH,0.03047%
Muthoot Finance Ltd.,MUTHOOTFIN,Consumer Lending,IN,0.03046%
Lotte Chemical Corp.,011170,Plastics,KR,0.03042%
China International Capital Corp. Ltd.,3908,Investment Services,CN,0.03022%
NETLINK NBN TRUST,CJLU,Telecommunications Services,SG,0.03007%
SenseTime Group Inc.,20,Software,KY,0.03006%
Foxconn Technology Co. Ltd.,2354,Electronic Components,TW,0.02988%
LG Chem Ltd.,051915,Electrical Components,KR,0.02982%
Parade Technologies Ltd.,4966,Semiconductors,KY,0.02972%
L&T Technology Services Ltd.,LTTS,Engineering and Contracting Services,IN,0.02969%
China Medical System Holdings Ltd.,867,Pharmaceuticals,KY,0.02965%
Giant Biogene Holding Co. ltd,2367,Personal Products,KY,0.02963%
Land & Houses PCL,LH-F,Real Estate Holding and Development,TH,0.02959%
Kalbe Farma Tbk PT,KLBF,Pharmaceuticals,ID,0.02950%
Oneness Biotech Co. Ltd.,4743,Pharmaceuticals,TW,0.02940%
Venture Corp. Ltd.,V03,Electronic Components,SG,0.02940%
China Oilfield Services Ltd.,2883,Oil Equipment and Services,CN,0.02937%
Foshan Haitian Flavouring & Food Co. Ltd.,603288,Food Products,CN,0.02934%
Xinyi Glass Holdings Ltd.,868,Glass,KY,0.02932%
Aluminum Corp. of China Ltd.,601600,Aluminum,CN,0.02927%
Ipca Laboratories Ltd.,IPCALAB,Pharmaceuticals,IN,0.02925%
Laurus Labs Ltd.,LAURUSLABS,Pharmaceuticals,IN,0.02923%
Luxshare Precision Industry Co. Ltd.,002475,Consumer Electronics,CN,0.02919%
Zoomlion Heavy Industry Science and Technology Co. Ltd.,000157,Machinery: Construction and Handling,CN,0.02914%
Dalmia Bharat Ltd.,DALBHARAT,Cement,IN,0.02913%
Swire Properties Ltd.,1972,Real Estate Holding and Development,HK,0.02904%
Bank of Ningbo Co. Ltd.,002142,Banks,CN,0.02902%
Zhejiang Leapmotor Technology Co. Ltd.,9863,Automobiles,CN,0.02900%
New China Life Insurance Co. Ltd.,1336,Life Insurance,CN,0.02898%
Biocon Ltd.,BIOCON,Biotechnology,IN,0.02896%
Indraprastha Gas Ltd.,IGL,Gas Distribution,IN,0.02893%
CRRC Corp. Ltd.,1766,Railroad Equipment,CN,0.02890%
China Feihe Ltd.,6186,Food Products,KY,0.02882%
Teco Electric and Machinery Co. Ltd.,1504,Electronic Equipment: Other,TW,0.02882%
Beijing Enterprises Holdings Ltd.,392,Gas Distribution,HK,0.02878%
China Merchants Port Holdings Co. Ltd.,144,Transportation Services,HK,0.02870%
Hang Lung Properties Ltd.,101,Real Estate Holding and Development,HK,0.02851%
City Developments Ltd.,C09,Real Estate Holding and Development,SG,0.02850%
RBL Bank Ltd.,RBLBANK,Banks,IN,0.02846%
WuXi AppTec Co. Ltd.,2359,Biotechnology,CN,0.02845%
L'Occitane International SA,973,Personal Products,LU,0.02844%
BOC Aviation Ltd.,2588,Commercial Vehicle-Equipment Leasing,SG,0.02831%
Universal Robina Corp.,URC,Food Products,PH,0.02829%
Home Product Center PCL,HMPRO-F,Home Improvement Retailers,TH,0.02826%
Bandhan Bank Ltd.,BANDHANBNK,Banks,IN,0.02825%
China National Building Material Co. Ltd.,3323,Cement,CN,0.02818%
Genscript Biotech Corp.,1548,Biotechnology,KY,0.02806%
China Vanke Co. Ltd.,2202,Real Estate Holding and Development,CN,0.02801%
Fila Holdings Corp.,081660,Apparel Retailers,KR,0.02778%
Baoshan Iron & Steel Co. Ltd.,600019,Iron and Steel,CN,0.02777%
Kumho Petrochemical Co. Ltd.,011780,Chemicals: Diversified,KR,0.02776%
Energy Absolute PCL,EA-F,Alternative Electricity,TH,0.02775%
Haier Smart Home Co. Ltd.,600690,Household Appliance,CN,0.02775%
Kotak Mahindra Bank Ltd.,KOTAKBANK,Banks,IN,0.02775%
LONGi Green Energy Technology Co. Ltd.,601012,Renewable Energy Equipment,CN,0.02774%
Zee Entertainment Enterprises Ltd.,ZEEL,Radio and TV Broadcasters,IN,0.02773%
ZTE Corp.,763,Telecommunications Equipment,CN,0.02756%
Anhui Gujing Distillery Co. Ltd.,200596,Distillers and Vintners,CN,0.02752%
China Coal Energy Co. Ltd.,1898,Coal,CN,0.02748%
Korea Investment Holdings Co. Ltd.,071050,Investment Services,KR,0.02744%
NAURA Technology Group Co. Ltd.,002371,Production Technology Equipment,CN,0.02742%
Mirae Asset Securities Co. Ltd.,006800,Investment Services,KR,0.02740%
Country Garden Services Holdings Co. Ltd.,6098,Real Estate Services,KY,0.02736%
Taiwan Fertilizer Co. Ltd.,1722,Fertilizers,TW,0.02731%
Samsung Securities Co. Ltd.,016360,Investment Services,KR,0.02725%
WuXi AppTec Co. Ltd.,603259,Biotechnology,CN,0.02724%
Mankind Pharma Ltd.,MANKIND,Pharmaceuticals,IN,0.02722%
Zhuzhou CRRC Times Electric Co. Ltd.,3898,Railroad Equipment,CN,0.02720%
Celltrion Pharm Inc.,068760,Pharmaceuticals,KR,0.02718%
Indofood Sukses Makmur Tbk PT,INDF,Food Products,ID,0.02714%
AAC Technologies Holdings Inc.,2018,Electronic Components,KY,0.02704%
Star Health & Allied Insurance Co. Ltd.,STARHEALTH,Life Insurance,IN,0.02692%
Pop Mart International Group Ltd.,9992,Specialty Retailers,KY,0.02686%
AIA Engineering Ltd.,AIAENG,Machinery: Industrial,IN,0.02684%
L&T Finance Holdings Ltd.,L&TFH,Consumer Lending,IN,0.02679%
Win Semiconductors Corp.,3105,Semiconductors,TW,0.02671%
Bangkok Expressway & Metro PCL,BEM-F,Transportation Services,TH,0.02670%
China Railway Group Ltd.,390,Engineering and Contracting Services,CN,0.02665%
China Hongqiao Group Ltd.,1378,Aluminum,KY,0.02664%
Shandong Weigao Group Medical Polymer Co. Ltd.,1066,Medical Supplies,CN,0.02648%
Inner Mongolia Yili Industrial Group Co. Ltd.,600887,Food Products,CN,0.02645%
Huatai Securities Co. Ltd.,601688,Investment Services,CN,0.02629%
Hanwha Ocean Co. Ltd.,042660,Marine Transportation,KR,0.02620%
Manila Electric Co.,MER,Conventional Electricity,PH,0.02617%
Dialog Group Bhd.,DIALOG,Oil Equipment and Services,MY,0.02616%
Shenzhen Transsion Holdings Co. Ltd.,688036,Telecommunications Equipment,CN,0.02609%
China Three Gorges Renewables Group Co. Ltd.,600905,Alternative Electricity,CN,0.02607%
China CSSC Holdings Ltd.,600150,Marine Transportation,CN,0.02604%
Jiangsu Yanghe Brewery Joint-Stock Co. Ltd.,002304,Distillers and Vintners,CN,0.02600%
One 97 Communications Ltd.,PAYTM,Transaction Processing Services,IN,0.02597%
Kingboard Holdings Ltd.,148,Chemicals: Diversified,KY,0.02591%
China Railway Group Ltd.,601390,Engineering and Contracting Services,CN,0.02586%
China Resources Mixc Lifestyle Services Ltd.,1209,Real Estate Services,KY,0.02578%
Ruentex Development Co. Ltd.,9945,Real Estate Holding and Development,TW,0.02576%
Shanghai Pharmaceuticals Holding Co. Ltd.,2607,Pharmaceuticals,CN,0.02570%
Haitong Securities Co. Ltd.,6837,Investment Services,CN,0.02548%
Exide Industries Ltd.,EXIDEIND,Industrial Suppliers,IN,0.02537%
ZTE Corp.,000063,Telecommunications Equipment,CN,0.02536%
Aier Eye Hospital Group Co. Ltd.,300015,Health Care Facilities,CN,0.02525%
Bosideng International Holdings Ltd.,3998,Clothing and Accessories,KY,0.02522%
Orion Corp./Republic of Korea,271560,Food Products,KR,0.02519%
Sinotruk Hong Kong Ltd.,3808,Commercial Vehicles and Parts,HK,0.02509%
China United Network Communications Ltd.,600050,Telecommunications Services,CN,0.02505%
Metallurgical Corp. of China Ltd.,601618,Engineering and Contracting Services,CN,0.02503%
LG Uplus Corp.,032640,Telecommunications Services,KR,0.02490%
Semen Indonesia Persero Tbk PT,SMGR,Cement,ID,0.02486%
Topsports International Holdings Ltd.,6110,Apparel Retailers,KY,0.02485%
Hanmi Pharm Co. Ltd.,128940,Pharmaceuticals,KR,0.02484%
Guangdong Investment Ltd.,270,Water,HK,0.02480%
iQIYI Inc.,IQ,Entertainment,KY,0.02461%
MINISO Group Holding Ltd.,MNSO,Diversified Retailers,KY,0.02455%
Hansoh Pharmaceutical Group Co. Ltd.,3692,Pharmaceuticals,KY,0.02448%
RLX Technology Inc.,RLX,Tobacco,KY,0.02445%
China Pacific Insurance Group Co. Ltd.,601601,Life Insurance,CN,0.02440%
HUTCHMED China Ltd.,13,Pharmaceuticals,KY,0.02432%
Eternal Materials Co. Ltd.,1717,Chemicals: Diversified,TW,0.02430%
China Everbright Environment Group Ltd.,257,Waste and Disposal Services,HK,0.02428%
PTT Oil & Retail Business PCL,OR-F,Oil Refining and Marketing,TH,0.02422%
Piramal Enterprises Ltd.,PEL,Consumer Lending,IN,0.02422%
Shandong Gold Mining Co. Ltd.,600547,Gold Mining,CN,0.02420%
LG Display Co. Ltd.,034220,Computer Hardware,KR,0.02409%
China Airlines Ltd.,2610,Airlines,TW,0.02401%
GS Holdings Corp.,078930,Diversified Industrials,KR,0.02385%
Keppel REIT,K71U,Other Specialty REITs,SG,0.02383%
Syngene International Ltd.,SYNGENE,Biotechnology,IN,0.02382%
Keppel DC REIT,AJBU,Other Specialty REITs,SG,0.02367%
China Conch Venture Holdings Ltd.,586,Waste and Disposal Services,KY,0.02367%
Guotai Junan Securities Co. Ltd.,2611,Investment Services,CN,0.02365%
Aluminum Corp. of China Ltd.,2600,Aluminum,CN,0.02364%
Doosan Bobcat Inc.,241560,Machinery: Construction and Handling,KR,0.02360%
SK IE Technology Co. Ltd.,361610,Electrical Components,KR,0.02354%
GF Securities Co. Ltd.,000776,Investment Services,CN,0.02336%
Air China Ltd.,753,Airlines,CN,0.02334%
Intouch Holdings PCL,INTUCH-F,Telecommunications Services,TH,0.02326%
Yadea Group Holdings Ltd.,1585,Recreational Vehicles and Boats,KY,0.02323%
Chongqing Zhifei Biological Products Co. Ltd.,300122,Biotechnology,CN,0.02323%
Wan Hai Lines Ltd.,2615,Marine Transportation,TW,0.02323%
Steel Authority of India Ltd.,SAIL,Iron and Steel,IN,0.02308%
Fosun International Ltd.,656,Diversified Industrials,HK,0.02285%
Hotel Shilla Co. Ltd.,008770,Specialty Retailers,KR,0.02283%
Gujarat Gas Ltd.,GUJGASLTD,Gas Distribution,IN,0.02278%
Ganfeng Lithium Group Co. Ltd.,002460,Electrical Components,CN,0.02278%
Autohome Inc.,ATHM,Consumer Digital Services,KY,0.02276%
Jiangxi Copper Co. Ltd.,358,Copper,CN,0.02275%
HD Hyundai Heavy Industries Co. Ltd.,329180,Marine Transportation,KR,0.02270%
Smoore International Holdings Ltd.,6969,Tobacco,KY,0.02264%
JD Logistics Inc.,2618,Transportation Services,KY,0.02255%
Aarti Industries Ltd.,AARTIIND,Specialty Chemicals,IN,0.02249%
Oberoi Realty Ltd.,OBEROIRLTY,Real Estate Holding and Development,IN,0.02236%
Bank of East Asia Ltd.,23,Banks,HK,0.02234%
Gujarat Fluorochemicals Ltd.,FLUOROCHEM,Chemicals: Diversified,IN,0.02234%
UNO Minda Ltd.,UNOMINDA,Auto Parts,IN,0.02225%
Monde Nissin Corp.,MONDE,Food Products,PH,0.02222%
Linde India Ltd.,LINDEINDIA,Specialty Chemicals,IN,0.02215%
HTC Corp.,2498,Telecommunications Equipment,TW,0.02213%
Zhongsheng Group Holdings Ltd.,881,Specialty Retailers,KY,0.02207%
Minth Group Ltd.,425,Auto Parts,KY,0.02205%
Barito Pacific Tbk PT,BRPT,Chemicals: Diversified,ID,0.02191%
COSCO SHIPPING Energy Transportation Co. Ltd.,1138,Marine Transportation,CN,0.02190%
China Literature Ltd.,772,Consumer Digital Services,KY,0.02170%
Shenzhen International Holdings Ltd.,152,Transportation Services,BM,0.02169%
Nan Ya Printed Circuit Board Corp.,8046,Electronic Components,TW,0.02168%
Telekom Malaysia Bhd.,TM,Telecommunications Services,MY,0.02166%
Nien Made Enterprise Co. Ltd.,8464,Household Furnishings,TW,0.02164%
BNK Financial Group Inc.,138930,Banks,KR,0.02160%
MGM China Holdings Ltd.,2282,Casinos and Gambling,KY,0.02156%
China Traditional Chinese Medicine Holdings Co. Ltd.,570,Pharmaceuticals,HK,0.02145%
Fuyao Glass Industry Group Co. Ltd.,600660,Glass,CN,0.02145%
Petronas Dagangan Bhd.,PETDAG,Oil Refining and Marketing,MY,0.02139%
Patanjali Foods Ltd.,PATANJALI,Food Products,IN,0.02136%
Sungrow Power Supply Co. Ltd.,300274,Renewable Energy Equipment,CN,0.02132%
Hygeia Healthcare Holdings Co. Ltd.,6078,Health Care Facilities,KY,0.02129%
BTS Group Holdings PCL,BTS-F,Railroads,TH,0.02125%
Cathay Pacific Airways Ltd.,293,Airlines,HK,0.02119%
Indofood CBP Sukses Makmur Tbk PT,ICBP,Food Products,ID,0.02113%
Banpu PCL,BANPU-F,Coal,TH,0.02111%
China Taiping Insurance Holdings Co. Ltd.,966,Life Insurance,HK,0.02106%
Indorama Ventures PCL,IVL-F,Chemicals and Synthetic Fibers,TH,0.02084%
E-MART Inc.,139480,Diversified Retailers,KR,0.02083%
China Everbright Bank Co. Ltd.,601818,Banks,CN,0.02080%
CP Axtra PCL,CPAXT-F,Diversified Retailers,TH,0.02069%
Jiangxi Copper Co. Ltd.,600362,Copper,CN,0.02067%
JOYY Inc.,YY,Consumer Digital Services,KY,0.02063%
Sany Heavy Industry Co. Ltd.,600031,Machinery: Construction and Handling,CN,0.02063%
Hysan Development Co. Ltd.,14,Real Estate Holding and Development,HK,0.02046%
Shenzhen Inovance Technology Co. Ltd.,300124,Machinery: Industrial,CN,0.02034%
Wynn Macau Ltd.,1128,Casinos and Gambling,KY,0.02032%
Coromandel International Ltd.,COROMANDEL,Fertilizers,IN,0.02019%
Samsung Fire & Marine Insurance Co. Ltd.,000815,Property and Casualty Insurance,KR,0.02016%
Henan Shuanghui Investment & Development Co. Ltd.,000895,Food Products,CN,0.02012%
Zhangzhou Pientzehuang Pharmaceutical Co. Ltd.,600436,Pharmaceuticals,CN,0.02009%
Bata India Ltd.,BATAINDIA,Footwear,IN,0.02003%
ZhongAn Online P&C Insurance Co. Ltd.,6060,Property and Casualty Insurance,CN,0.02001%
Guangzhou Baiyunshan Pharmaceutical Holdings Co. Ltd.,600332,Pharmaceuticals,CN,0.01998%
Zhongji Innolight Co. Ltd.,300308,Telecommunications Equipment,CN,0.01997%
